time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price,filled_quantity,trade_cost
2024-11-15 16:00:00-05:00,BullishCallSpread,3e629d3ce16e4c278686899f2ea50e57,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,585,100,2024-11-15,option,0.7599999999999909,10.0,
2024-11-15 16:00:00-05:00,BullishCallSpread,e3a4f2069c454f69a3d6050f1afe8499,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,590,100,2024-11-15,option,0.0,10.0,
2024-11-18 09:30:00-05:00,BullishCallSpread,3bcdc26afae143eda5bd2922673a3c7c,SPY,buy,market,new,1,gtc,CALL,585,100,2024-12-20,option,,,
2024-11-18 09:30:00-05:00,BullishCallSpread,704353a31ac446368148d344edc59af5,SPY,sell,market,new,1,gtc,CALL,590,100,2024-12-20,option,,,
2024-11-18 09:30:00-05:00,BullishCallSpread,3bcdc26afae143eda5bd2922673a3c7c,SPY,buy,market,fill,100,gtc,CALL,585,100,2024-12-20,option,11.5,10.0,0.0
2024-11-18 09:30:00-05:00,BullishCallSpread,704353a31ac446368148d344edc59af5,SPY,sell,market,fill,100,gtc,CALL,590,100,2024-12-20,option,8.43,10.0,0.0
2024-12-20 16:00:00-05:00,BullishCallSpread,0af4cf8f2e004beca9f137faf278c620,SPY,sell,cash_settled,cash_settled,100,gtc,CALL,585,100,2024-12-20,option,5.850000000000023,10.0,
2024-12-20 16:00:00-05:00,BullishCallSpread,008e51d9f6d6422cbacef7e71da6ca61,SPY,buy,cash_settled,cash_settled,100,gtc,CALL,590,100,2024-12-20,option,0.8500000000000227,10.0,
2024-12-23 09:30:00-05:00,BullishCallSpread,7fd42adbaad24911a6403127643a8b22,SPY,buy,market,new,1,gtc,CALL,590,100,2025-01-17,option,,,
2024-12-23 09:30:00-05:00,BullishCallSpread,186fad15a5f941e6a58659fdbdb9d1cb,SPY,sell,market,new,1,gtc,CALL,595,100,2025-01-17,option,,,
2024-12-23 09:30:00-05:00,BullishCallSpread,7fd42adbaad24911a6403127643a8b22,SPY,buy,market,fill,100,gtc,CALL,590,100,2025-01-17,option,11.4,10.0,0.0
2024-12-23 09:30:00-05:00,BullishCallSpread,186fad15a5f941e6a58659fdbdb9d1cb,SPY,sell,market,fill,100,gtc,CALL,595,100,2025-01-17,option,8.31,10.0,0.0
